"공원번호","공원명","공원개요","면적","개원일","주요시설","주요식물","안내도","오시는길","이용시참고사항","이미지","지역","공원주소","관리부서","전화번호","X좌표(GRS80TM)","Y좌표(GRS80TM)","X좌표(WGS84)","Y좌표(WGS84)","바로가기"
"1","남산도시자연공원","남산공원은 도심에 위치하여 서울시민에게 맑은 공기를 제공하는 자연휴식처이며 산책 꽃구경 공연관람 서울타워 남산케이블카 이용 등 다양한 활동이 가능한 대표적 휴식 여가 생활의 중심지입니다.","2896887㎡ 임 야 : 2454140㎡ 녹지대 및 기타시설 : 442747㎡","1968.9.10","기반시설 : 광장 45950㎡ 도로 108530㎡ 산책로 6.7㎞ (북측:3.7㎞/남측:3.0㎞) 조경시설 : 연못 1개소(1078㎡) 파고라 분수대 그늘시렁 운동시설 : 테니스장 야구장 궁도장 배드민턴장 교양시설 : 도서관 야외식물원 안중근의사 기념관 편익시설 : 주차장 매점 음수대 팔각정 화장실 밴치 타워전망대 기타시설 : 순환도로 18.9㎞","소나무 단풍 아카시아 상수리나무 등 191종 2881870주","http://parks.seoul.go.kr/upload/seditorMulti/201605261643016ae7ec63-5ba7-4ee2-bd0c-ebd9f733af34.png","명동역(남산케이블카 와룡묘 서울애니메이션센터 방면) 도보 명동역 3번출구 → 퍼시픽호텔 방향 → 남산케이블카 매표소 (도보 10분) 명동역 4번출구 → 직진→ 회현사거리(남산 3호터널 방향 좌회전) → 남산오르미 → 남산케이블카 매표소→ 남산 북측순환로 → 잠두봉포토아일랜드→ 팔각정 →서울타워(47분 2.3km) 셔틀버스 명동역 3번 출구 → 동보성주차장 앞 남산케이블카 셔틀버스 이용(무료) 배차시간 1시간 (첫차 11:00 막차 21:30) ☎ 02)753-2403 충무로역(남산골 한옥마을 북측순환로) 도보 충무로역 34번출구 → 남산골 한옥마을 정문(도보 5분) → 서울남산국악당 → 남산골 한옥마을 후문 ？ 남산 북측순환로 (18분 1.2km) 동대입구역(장충단비 장충유아숲체험장 석호정 국립극장) 도보 동대입구역 6번출구 → 국립극장 → 남산 남측순환로→장충 유아숲체험장 → 서울타워 (50분 3.35km) 서울역(남산도서관 안중근의사기념관 방면) 도보 1호선 서울역 4번 출구 → 숭례문 → 힐튼호텔 방향 → 백범광장 → 잠두봉포토아일랜드 → 서울타워 (49분 3.2km) 회현역 34번 출구 → 도동삼거리 → 백범광장 → 서울시교육연구정보원 ？ 잠두봉포토아일랜드 → 서울타워 (32분 1.9km) 버스 서울역 9-1번 출구 → 5번 승강장 402번 승차 → 남산도서관 하차 → 남측순환로 ？ 서울타워(30분 3.29km) 이태원역한강진역버티고개역(한남공원이용지원센터한남유아숲체험장) 도보 한강진역 1번출구 → 100m직진 우측 나무계단(소월로방향) → 하얏트호텔 방향 → 육교건너편 → 공원이용지원센터 (카페 간판있는 건물1층) ？ 한남유아숲체험장 → 남측소나무탐방로(44분2.9km) 버스 서울역 9-1번출구 → 5번 승강장 (402번 승차) → 하얏트호텔 정류장 하차 →  육교 건너편 공원이용지원센터(카페 간판있는 건물1층) (24분 4.8km) 이태원1번출구 → 도보10분 → 용산03번 승차(녹사평역 용산구청 정류장) → 하얏트호텔 종점 하차 ？ 공원이용지원센터(30분 2.8km) 녹사평역 3번출구(녹사평역 용산구청 정류장) → 용산03번 승차 → 하얏트호텔 종점 하차 → 공원이용지원센터(20분 2.2km) 남산정상(서울타워팔각광장) 방면 명동역 3번출구 → 140m 이동 → 명동입구 정류장 05번 탑승 (22분 5.85km) 충무로역 24번출구 (퇴계로3가/한옥마을/한국의집 정류장 대한극장앞 정류장) 02번 승차 (12분 2.54km) 05번 승차 (20분 4.96km) 동대입구역 6번출구  → 후진 240m 이동 → 동대입구역 장충동 정류장 02 03 05번 승차 (16분 3.16km) 서울역 9번 출구 → 남대문경찰서 정류장 03번 승차 (33분 7km) 회현역 5번출구 →남대문시장악세사리전문상가 정류장 05번 승차 (30분 7km) 한강진역 2번 출구 → 03번 승차(21분 4.03km) 이태원역 4번 출구 → 03번 승차(24분 4.92km) 버티고개역 3번 출구 → 03번 승차(16분 2.87km)","남산공원 차량통행 금지안내 2005년 5월 1일부터 남산공원에 일반승용차 택시 통행이 금지되었습니다. 남산 서울타워까지 명동 충무로 동대입구역에서 순환버스(020305번)를 이용하세요  ","http://parks.seoul.go.kr/file/info/view.do?fIdx=1884","중구","서울특별시 중구 삼일대로 231(예장동)","서울특별시중부푸른도시사업소","02-3783-5900","198364.107","450395.554","126.9903773","37.5501402","http://parks.seoul.go.kr/template/sub/namsan.do"
"3","길동생태공원","길동생태공원은 생물의 서식처를 제공하고 종다양성을 증진시키며 자연생태계의 생물들을 관찰 체험할 수 있도록 하여 시민들에게 건강한 생태공간을 제공하고 환경의 중요성을 일깨워주기 위한 공간입니다.","80683㎡","1999.5.20","탐방객안내소 야외전시대 관찰대 목재데크 조류관찰대 길동생태문화센터","소나무 보리수 등 64종 31800주 산국 부들 등 138종 192800본","http://parks.seoul.go.kr/template/common/img/park_info/16_gildong/16_03.jpg","","매주 월요일은 휴관입니다 사전예약 후 입장하실 수 있습니다. ▶ 인터넷 예약 바로가기(클릭하세요) 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 입장시간 10:00 ~ 16:00 (동절기 11~2월) 10:00~17:00(하절기 3~10월)  (공원입장예약 안내 : 이용일 31일 09:00 부터  ~ 당일 15시까지 예약 가능 합니다.)","http://parks.seoul.go.kr/file/info/view.do?fIdx=1885","강동구","서울특별시 강동구 천호대로 1291(길동생태공원) ","동부공원녹지사업소 길동생태공원","02-489-2770","213554.120","448852.675","127.1547791","37.5403935","http://parks.seoul.go.kr/template/sub/gildong.do"
"4","서울대공원","서울대공원은 세계 각국의 야생동물들이 살아 숨 쉬는 서울동물원과 다양한 재미와 즐거움을 주는 서울랜드 자연과 사람의 특별한 이야기가 있는 테마가든 그리고 자연의 소중함을 배우는 서울대공원 캠핑장 신나는 어린이 체험놀이터 기린나라 근?현대 미술계의 흐름을 한눈에 볼 수 있는 국립현대미술관으로 구성되어 있는 대한민국 대표 종합 테마파크입니다.","9132690m²","1984.5.1","동물원 식물원 테마가든(장미원 어린이동물원 피크닉장) 치유숲 산림욕장 캠핑장 국립현대미술관 서울랜드 기린나라 코끼리열차 스카이리프트 등","","","지하철 4호선 대공원역 하차(2번 출구) 도보 15분 정도 문의처 02)500-7335 주차장 주차가능 수 : 6750 대 ","일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ","http://parks.seoul.go.kr/file/info/view.do?fIdx=1886","과천시","경기도 과천시 대공원광장로 102","전략기획실","02-500-7032","200994.267","437163.981","127.0198465","37.4264494","http://grandpark.seoul.go.kr/"
"5","서울숲","당초 골프장 승마장 등이 있던 뚝섬일대를 주거업무 지역으로 개발할 경우 약 4조원에 달하는 개발이익이 예상되었으나 서울시민들의 웰빙공간을 영국 하이드파크(Hyde Park) 뉴욕센트럴파크 (central Park)에 버금가도록 마련하고자 공원조성사업비 235.259백만원을 투자하여- 자연과 함께 숨쉬는 생명의숲- 시민과 함께 만드는 참여의숲- 누구나 함께 즐기는 기쁨의 숲인 서울숲을 조성함.","480994㎡","2005.6.18","4개 테마공원: 문화예술공원 자연생태숲 자연체험학습원 습지생태원 주요시설: 가족마당 야외무대 사슴우리 곤충식물원 체육시설 놀이터 산책로 등 ","수 목 : 소나무 섬잣나무 계수나무 외 95종 415795주 식물원 : 선인장 등 231종 7755본 초 화 : 개미취 구절초 갈대 외 8종 3250본","http://parks.seoul.go.kr/template/common/img/park_info/54_seoulforest/seoulforest_guide.jpg","","지하철 분당선 서울숲역 3번출구 도보로 약5분 2호선 뚝섬역 8번출구 도보로 약 15분거리 중앙선(1호선)응봉역 2번출구 도보로 약 30분 정도 거리  버스(G 지선 B 간선 R 광역 Y 순환) B 141 : 도봉산입구>미아삼거리역>서울숲 후문>도산공원>서울세관 B 145 : 북부수도사업소>답십리 촬영소>서울숲후문>갤러리아백화점>신사역 B 148 : 북부수도사업소>고대앞 삼거리>성동구청>서울숲 후문>압구정동 B 121 : 화계사>고대앞 삼거리>마장역>한양대 정문>서울숲 G 2014 : 자양4동 차고지>영동대교앞>서울숲>왕십리역>동대문역사문화공원 G 2412 : 성수동 차고지>서울숲>노륜산시장앞>잠실역>송파역>수서역 G 2413 : 성수동 차고지>서울숲>뚝섬역>영동대교>한국무역센터(삼성역) G 2224 : 성수동 차고지>서울숲>뚝섬역>성수역>건대역>동서울터미널 승용차 강변북로 서쪽(일산방면) 반포대교 → 1차선에서 ‘용비교?한남동 방향’램프진입 → 용비교 → 성수대교(북단)사거리에서 직진 → 무지개 터널 → 서울숲 주차장 강남방면 성수대교 건너 ‘성수대교(북단)사거리’에서 우회전 → 무지개터널 → 서울숲 주차장 상계동 방면 동부간선도로 → 군자교 → 강변북로 못미쳐 ‘성수대교ㆍ왕십리 방향’으로 진입 → 성수대교(북단)사거리에서 직진→ 무지개터널 → 서울숲 주차장 한강변 자전거도로 성산대교 ↔ 용비교 아래 자전거 도로 ↔ 서울숲 지하통로(성수대교하단) ↔ 광진교 중랑천자전거 도로(광진 성동 중랑 동대문 강북 도봉) ↔ 용비교 아래 자전거 도로 ↔ 서울숲의 지하통로 주차장서울숲주차장 주차요금안내 주차가능 수 : 172대 주차장 면적 : 5675㎡  ","http://parks.seoul.go.kr/file/info/view.do?fIdx=1887","성동구","서울특별시 성동구 뚝섬로 273 (성수동1가) ","서울숲 관리사무소","02-460-2905 ","203695.432","449290.726","127.0417982","37.5430717","http://parks.seoul.go.kr/template/sub/seoulforest.do"
"6","월드컵공원","월드컵공원은 서울의 서쪽에 위치하여 1978년부터 1993년까지 15년간 서울시민이 버린 쓰레기로 만들어진 2개의 거대한 산과 넓은 면적의 평매립지를 2002 월드컵 개최와 새 천년을 기념하기 위하여 난지도 쓰레기매립장을 안정화 공원화하면서 270만㎡의 면적의 대규모 환경?생태공원으로 대표 공원인 평화의공원을 비롯하여 하늘공원 노을공원 난지천공원난지한강공원의 5개 테마공원으로 조성되었습니다.  ","2284085㎡","2002.5.1","평화의 공원 월드컵공원전시관(879㎡) 유니세프광장(2400㎡) 평화광장(5217㎡) 난지연못(24522㎡) 휴게소2개소 화장실 6개소 음수전 2개소 별자리광장(2800㎡) 잔디광장(15110㎡) 야외전시장(5145㎡) 모험놀이터(1133㎡) 피크닉장(멍석20개) 테니스장 2면 평화의정원 1개소 주차장(1242면) 에너지제로하우스 하늘공원 탐방객안내소(103㎡) 풍력발전기 5개소 전망대 20개소 화장실 5개소 음수전 4개소 하늘계단 하늘을 담는 그릇 초지(109567㎡) 난지천공원 인조잔디축구장 게이트볼장(1188㎡) 농구장(420㎡) 음수전 4개소 화장실 5개소 배드민턴장(328㎡) 다목적구장(3240㎡) 장애인놀이터(1591㎡) 어린이놀이터(706㎡) 매점 2개소 잔디광장(16193㎡) 오리연못(3600㎡) 주차장(난지천 196면 임시주차장 250면 장애인주차장 53면) 노을공원 관찰?쉼터데크 전망데크 바람의광장 누에생태체험장 노을캠핑장 파크골프장 노을계단 조각 작품 10 반딧불이 관찰원 커뮤니티센터 난지창작스튜디오 희망의숲 등 매립지 사면 달리기코스(난지순환길 5.8㎞) 수림대 사면녹화 기타시설 지역난방공사 자원회수시설 수소충전시설 수소발전시설 ","","http://parks.seoul.go.kr/template/common/img/park_info/82_worldcup/worldcup_guide.jpg","지하철 6호선 월드컵경기장역 하차 → 1번 출구로 나온 후 직진 → 큰길(도로)이 나오면 정면에 마포농수산물시장이 보이고 → 횡단보도를 건너시면→ 평화의공원 주차장→ 주차장을 지나면 평화의공원입니다. 공원녹지사업소는 마포농수산물시장을 따라 직진→ 시장건물이 끝나는 지점에 관리사업소(2층)가 있습니다 1번 출구로 나온 후 직진 → 큰길(도로)이 나오면 우측으로 풍력발전기가 있는 하늘공원이 보이며 →횡단보도를 건너(여기서부터 평화의공원) →평화의공원과 하늘공원 사이의 육교를 건너신 후 →하늘계단 또는 사면도로를 이용  버스(G 지선 B 간선 R 광역 Y 순환) 월드컵경기장남측 월드컵경기장(마포 농수산물시장) 자동차검사소에서 하차 G 7011 7013 7714 7715 마을버스 마포08 B 171 271 571 승용차 내부순환로 (성북 노원 상계 도봉) 성산을 빠져나온 후 → 경기장 방향으로 우회전 → 직진 → 경기장 남문 주차장에서 좌회전을 하면 평화의 공원 주차장 또는 사거리에서 좌회전하여 난지천공원 주차장 주차 강변북로(강남 송파방면) 월드컵경기장 표지판이 보이면 빠져나옵니다 → 오른쪽이 평화의 공원 왼쪽이 하늘공원입니다. → 사거리에서 좌회전을 하시면 평화의공원 주차장 직진하여 월드컵터널위로 유턴→ 난지천공원 주차장에 주차 자유로(일산방면) 가양대교에서 빠져나옵니다 → 첫번째 신호등에서 우회전→ 경기장 방향으로 직진 → 난지천공원 또는 평화의 공원 주차장에 주차 서부간선도로(구로 영등포 양천) 성산대교를 건너 → 1차선으로 오시다가 → 내부순환로 진입전 경기장 방향으로 진입→ 경기장 3거리에서 좌회전을 하신 후 → 경기장 남문 주차장에서 좌회전을 하여 평화의 공원 주차장에 주차 또는 사거리에서 좌회전하시면 난지천공원 주차장에 주차 가양대교를 건너 수색방면으로 직진(오른쪽이 노을공원)→ 첫번째 신호등에서 우회전→ 경기장 방향으로 직진 → 난지천공원 또는 평화의 공원 주차장에 주차 주차장 월드컵공원 주차장은 월드컵축구경기 대회기간 동안에는 무료로 운영하였고 2004년11월1일부터 주차장 이용시간에 따라 3급지 요금을 적용하고 있습니다. 주차장 운영시간은 09:00?22:00까지이며 그 이후 시간은 무료로 개방하고 있습니다.(주말/ 공휴일 동일요금 적용) 장애인 및 국가유공자 80% 할인 차량에 장애인 및 국가유공자 표지를 부착하고 복지카드국가유공자증서를 소지하고 본인이 탑승한 차량에 한함 경차 50% 할인 승용차요일제 참여 차량 30% 할인 기타 주차요금 할인율은 법률 및 조례에 따릅니다. 2이상의 주차요금 감면사유에 해당하는 때에는 그중 감면율이 높은 하나만 적용 주차장에 관한 자세한 내용은 주차장사무실(☎308-7441) 또는 서부공원녹지사업소 공원운영과(☎300-5525)로 문의하시기 바랍니다. 주차가능 수 : 1848면 주차장 면적 : 72121㎡","일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다 ","http://parks.seoul.go.kr/file/info/view.do?fIdx=1888","마포구","서울특별시 마포구 하늘공원로 84(월드컵공원)","월드컵공원","02-300-5500","190658.070","451598.831","126.878907","37.571805","http://parks.seoul.go.kr/template/sub/worldcuppark.do"
"12","광화문시민열린마당","광화문 옛 육조거리가 있던 자리에 새롭게 탄생한 서울시민을 위한 쉼터 '시민열린마당' '시민열린마당'은 육조거리를 현대적으로 재현한 북동쪽의 육조마당과 남서쪽의 시민 휴식공간 그리고 중심부의 열린공간이 한 축으로 이어져 과거와 현재 미래가 어우러지는 화합의 공간을 조성하였습니다.  ","8948.1㎡","1999.1.1","조 경 시 설 : 육조상징벽 6개소 전통담장 4개소 열주 22조 화계6개소 편 익 시 설 : 화강석의자 35조 관 리 시 설 : 광장등 4본 정원등 23본 투사등 28본 열주내장등 22본 기 반 시 설 : 열린마당 3280㎡ 육조마당 920㎡ 휴게마당 1670㎡ 녹지대 3078㎡ 대형전용 주차장 : 9면 ","수 목 : 소나무 느티나무 배롱나무등 27종 5535주 초 화 : 맥문동 꽃창포 수련등 3692본 ","http://parks.seoul.go.kr/cheditor/attach/20110208/fcZFzUmx.jpg","지하철 3호선 경복궁역 5번출구 5호선 광화문역 2번출구 버스(G 지선 B 간선 R 광역 Y 순환) 세종문화회관 하차 G 0015(용산방향) 1(종로) 1011 1711 7018 7022 7023 삼청마을버스(종로) B 150 162 200 401 402 406 R 9602 9710 5001 5500 9401 9402 9601 9702 9706 9713 Y 9602 9710 5001 5500 9401 9402 9601 9702 9706 9713 교보빌딩 하차 G 0015(남산방향) 0212 1011 1012 1020 1711 7012 7018 7020  R 9711 9712 주차장 광화문 시민열린마당에는 주차장이 없습니다. 대중교통을 이용하여 주시기 바랍니다.","일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ","http://parks.seoul.go.kr/file/info/view.do?fIdx=1890","종로구","서울특별시 종로구 세종로 76-2","종로구청 공원녹지과","02-2148-2843","198054.179","452832.049","126.9780227","37.5750449",""
"13","진관근린공원(구파발폭포)","1993. 09. 06 서울시장 방침(제1400호) 통일로변 인공폭포조성계획  1995. 05. 10 서울특별시고시 제1995-133호로 공원조성계획 결정 및 지적승인 구파발폭포 재조성 사업 추진 진행 중 [준공완료(예정): 2015. 12]","휴양 및 편익시설 : 평의자 7개 화장실 23.18㎡ 조경시설 - 은하폭포(높이 12m × 폭10m 발원지로부터 17.3m 폭 1.5 ~ 10m 수조 255㎡ 담수량 140t) - 산성폭포(높이 5m×폭 12m 수조 90㎡ 담수량 75t)- 명속의 벽 1개소(높이 5.4m) 교양시설 : 야외공연무대 102㎡ 관리시설 : 관리실 8.55㎡ 전기실 51.03㎡ 기계실 83.36㎡ 안내판 1개 공원 등 18본 휴양시설 : 벤취 12개 ","1997.10.1","폭포 야외무대","수 목 : 소나무 잣나무 주목 느티나무 은행나무 등 29종 6515주 초 화 : 구절초 참나리 비비추 돌나물 벌개미취 등 7종 4358본 ","","지하철 3호선 구파발역  버스(G 지선 B 간선 R 광역 Y 순환) 구파발역 또는 구파발 삼거리 하차 G 7023 7723 7724 7733 7211 B 471 701 703 567 R 9703 9709 9710  주차장 구파발폭포는 주차장이 없습니다. 대중교통을 이용하여 주시기 바랍니다. ","일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ","http://parks.seoul.go.kr/file/info/view.do?fIdx=1891","은평구","서울특별시 은평구 진관동 393","은평구청 공원녹지과","02-351-8004","192864.424","459694.746","126.9192155","37.6370244",""
"16","중마루근린공원","서울시가 ‘공원녹지 확충 5개년 계획’ 에 의해 구 영등포시립병원(6동)을 이전한 후 조성한 공원으로 1997년 11월25일에 개원했다. 서울의 부도심인 영등포 지역의 상?공업 종사자 직장인 및 주민들이 휴식 및 여가를 즐길 수 있는 장소로 숲과 물을 도입하여 도심속의 오아시스와 같이 조성하였다.","6456㎥","1997.11.25 ","기반시설 : 광장 200㎡ 산책 등산로 0.50㎞ 편익시설 : 광장  의자 휴지통 음수대 공원등 등 편익시설 : 파고라 연못 1개소(150㎡) 그늘시렁 등 휴양시설 : 정자","수 목 : 소나무 느티나무 외 43종 3580주 초 화 : 비비추 옥잠화외 25종 11580본","http://parks.seoul.go.kr/template/common/img/park_info/90_jungmaru/jungmaru_guide.jpg","지하철 1호선 영등포역 (도보15분소요) 5호선 영등포시장역3번 출구 경원극장까지 도보15분 소요  버스(G 지선 B 간선 R 광역 Y 순환) 영등포시장 하차 G 5612 5620 5625 6211 6629 6638 6639 7612 5616 5627 6631 5714 6514 6636 B 262 363 641 650 640 162 361 360 570 605 608 642 261 [경기 좌석버스] 6 60 69 7 905 [경기 도시형버스] 11-1 82 83  승용차  주차장 공원 바로 옆 노상주차장 : 2시간까지 최소 30분 3000원 10분초과 시 1000원추가 축협 옆 영등포 2동 주택가 공동 주차장 : 2시간까지 최소 30분 3000원 10분초과 시 1000원추가 ","일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ","http://parks.seoul.go.kr/file/info/view.do?fIdx=1893","영등포구","서울특별시 영등포구 영등포동2가 222","영등포구청 푸른도시과","02-2670-3717","192162.090","446711.963","126.9112668","37.519832",""
"17","응봉공원","응봉은 산모양이 매처럼 보이기 때문에 붙여졌다고 하며 조선시대 왕들이 매사냥을 하여 붙여진 이름으로 옛날에는 하나의 줄기였으나 도시개발로 인해 응봉산 대현산 대현배수지공원 금호산 매봉산 5개 지역으로 나뉘어져 있고 한강에 연접해 있어 한강을 조망할 수 있으며 경관이 수려하고 편익시설 체력단련시설이 설치되어 이용이 편리하다.","80309㎡ 배수지 시설용량 : 201.000㎥ 송수 펌프용량 : 직송급수계통 30000㎥/일 금호배수지계통 16400㎥/일 ","2003.2.21 ","조경시설 : 파고라 외 222소 운동시설 : 잔디광장 테니스장 2면 게이트볼장 배드민턴장 6면 다목적경기장 등 편익시설 : 음수대 화장실 2동 등 기타시설 : 관리동 등 ","아까시나무 소나무 살구나무 개나리","http://parks.seoul.go.kr/cheditor/attach/20131125/tBOPKowz.jpg","지하철 5호선 신금호역 2번 출구 금호여중 방향 200M (도보 3분 거리) 버스(G 지선 B 간선 R 광역 Y 순환) 대경상고 신금호역 금호로터리 하차 G 0212 2224 마을버스 성동05 성동02 성동03 ","일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ","http://parks.seoul.go.kr/file/info/view.do?fIdx=1894","성동구","서울특별시 성동구 금호동1가 산1-72","성동구청 공원녹지과","02-2293-7646","201884.862","450829.348","127.0217653","37.5572281",""
"18","매화근린공원","공장 이적지 공원화 사업’의 일환으로 옛 성진 유리(주)공장 터에 사업비 6억 원을 들여 조성한 뒤 1998년 6월 18일 문을 열었다. 가양택지개발지구와 가깝고 면적은 총 1980㎡로 녹지 1197㎡ 산책로 783㎡가 조성되어 있다. 주요 시설물로는 유리를 소재로 한 상징 조형물이 있으며 팔각정자와 사각 파고라(그늘막) 음수전 등의자 평의자 등이 있다.","1980.4㎡   ","1998.6.18 ","상징조형물 팔각정자 사각파고라 음수전 ","소나무 느티나무 등 29종 9912주  ","http://parks.seoul.go.kr/cheditor/attach/20110208/aliPCQkB.jpg","지하철 9호선 증미역 버스(G 지선 B 간선 R 광역 Y 순환) 강서소방서 또는 E-mart 가양점 하차 G 6(강서) 8(강서) 6645 B 670 672 R 9602 ","일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ","http://parks.seoul.go.kr/file/info/view.do?fIdx=1895","강서구","서울특별시 강서구 등촌동 630-14","강서구청 공원녹지과","02-2600-4181","187712.085","450892.604","126.86115","37.5575833",""
