학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
B000013333,진주외국어고등학교,고등학교,1970-12-26,사립,본교,운영,경상남도 진주시 일반성면 개암리 884,경상남도 진주시 일반성면 동부로 2014-6,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2020-09-22,35.1696561814,128.2816679523,2021-03-25,7001220,한국교원대학교
B000022925,용남고등학교,고등학교,1991-03-09,공립,본교,운영,충청남도 계룡시 신도안면 남선리 1278,충청남도 계룡시 신도안면 신도안1길 32,8140000,충청남도교육청,8222000,충청남도논산계룡교육지원청,2013-11-29,2020-09-22,36.2943092118,127.2447646202,2021-03-25,7001220,한국교원대학교
B000010931,장곡중학교,중학교,2001-03-06,공립,본교,운영,경상북도 칠곡군 석적읍 중리 246,경상북도 칠곡군 석적읍 남중리8길 13,8750000,경상북도교육청,8941000,경상북도칠곡교육지원청,2013-11-29,2020-09-22,36.0734554758,128.4150883,2021-03-25,7001220,한국교원대학교
B000011284,대정중학교,중학교,1946-11-08,공립,본교,운영,제주특별자치도 서귀포시 대정읍 하모리 778,제주특별자치도 서귀포시 대정읍 비행장로 18,9290000,제주특별자치도교육청,9299000,제주특별자치도서귀포시교육지원청,2013-11-29,2020-09-22,33.2199616211,126.2532326652,2021-03-25,7001220,한국교원대학교
B000008177,안천중학교,중학교,1991-03-01,공립,본교,운영,서울특별시 금천구 독산동 1089,서울특별시 금천구 한내로 69-44,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2020-09-22,37.4595242629,126.8874987711,2021-03-25,7001220,한국교원대학교
B000003367,대전동광초등학교,초등학교,1936-04-13,공립,본교,운영,대전광역시 동구 자양동 94-3,대전광역시 동구 백룡로11번길 20,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2020-09-22,36.3373475952,127.4495504701,2021-03-25,7001220,한국교원대학교
B000012725,봉일천고등학교,고등학교,2007-03-06,공립,본교,운영,경기도 파주시 조리읍 봉일천리 254-2,경기도 파주시 조리읍 소곡로 54,7530000,경기도교육청,7681000,경기도파주교육지원청,2013-11-29,2020-09-22,37.7469903612,126.8162726085,2021-03-25,7001220,한국교원대학교
B000009526,안성중학교,중학교,1939-03-24,공립,본교,운영,경기도 안성시 금산동 33-12,경기도 안성시 금산길 43,7530000,경기도교육청,7761000,경기도안성교육지원청,2013-11-29,2020-09-22,37.0133133267,127.2704647904,2021-03-25,7001220,한국교원대학교
B000002131,서울잠일초등학교,초등학교,1976-03-12,공립,본교,운영,서울특별시 송파구 잠실동 19-1,서울특별시 송파구 올림픽로 95,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2020-09-22,37.5147416618,127.0816362169,2021-03-25,7001220,한국교원대학교
B000008476,태종대중학교,중학교,1974-12-21,공립,본교,운영,부산광역시 영도구 동삼동 523-1,부산광역시 영도구 함지로79번길 9,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2013-11-29,2020-09-22,35.0736739612,129.0649204552,2021-03-25,7001220,한국교원대학교
B000002570,혜화초등학교,초등학교,1965-01-27,사립,본교,운영,부산광역시 동래구 명장동 산12,부산광역시 동래구 명장로99번길 25,7150000,부산광역시교육청,7191000,부산광역시동래교육지원청,2013-11-29,2020-09-22,35.2022604661,129.1132938270,2021-03-25,7001220,한국교원대학교
B000002601,연신초등학교,초등학교,1984-03-01,공립,본교,운영,부산광역시 연제구 연산동 302-1,부산광역시 연제구 신금로23번길 30,7150000,부산광역시교육청,7191000,부산광역시동래교육지원청,2013-11-29,2020-09-22,35.1924823057,129.0931595056,2021-03-25,7001220,한국교원대학교
B000011331,홍익디자인고등학교,고등학교,1968-03-01,사립,본교,운영,서울특별시 마포구 연남동 369-1,서울특별시 마포구 성미산로 111,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2020-09-22,37.5635106357,126.9191662788,2021-03-25,7001220,한국교원대학교
B000011107,한림중학교,중학교,1952-06-20,사립,본교,운영,경상남도 김해시 한림면 장방리 346,경상남도 김해시 한림면 한림로365번길 33,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2013-11-29,2020-09-22,35.3217216196,128.7996056366,2021-03-25,7001220,한국교원대학교
B000012051,영락고등학교,고등학교,1959-04-09,사립,본교,운영,서울특별시 관악구 봉천동 1558-1,서울특별시 관악구 청룡16길 25,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2020-09-22,37.4765425944,126.9454163856,2021-03-25,7001220,한국교원대학교
B000008271,오주중학교,중학교,1984-09-01,공립,본교,운영,서울특별시 송파구 오금동 59,서울특별시 송파구 동남로 281,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2020-09-22,37.5015066068,127.1362652938,2021-03-25,7001220,한국교원대학교
B000005363,남이초등학교,초등학교,1923-10-22,공립,본교,운영,충청북도 청주시 서원구 남이면 대련리 255,충청북도 청주시 서원구 남이면 대련길 61,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2013-11-29,2020-09-22,36.5770967986,127.4542168,2021-03-25,7001220,한국교원대학교
