철도운영기관명,선명,역명,경도,위도
코레일,3호선,대곡,126.811024,37.631626
코레일,3호선,화정,126.83265,37.634592
코레일,3호선,원흥,126.872642,37.650658
코레일,3호선,원당,126.843041,37.653324
코레일,3호선,백석,126.78787,37.643114
코레일,3호선,마두,126.77762,37.652206
코레일,3호선,정발산,126.773359,37.659477
코레일,3호선,주엽,126.761334,37.670072
코레일,3호선,대화,126.747569,37.676087
코레일,3호선,삼송,126.895558,37.653083
서울교통공사,3호선,지축,126.913951,37.648048
서울교통공사,3호선,구파발,126.918821,37.636763
서울교통공사,3호선,연신내,126.921008,37.619001
서울교통공사,3호선,불광,126.929887,37.610469
서울교통공사,3호선,녹번,126.935756,37.600927
서울교통공사,3호선,홍제,126.943736,37.589066
서울교통공사,3호선,무악재,126.950291,37.582299
서울교통공사,3호선,독립문,126.957748,37.574571
서울교통공사,3호선,경복궁(정부서울청사),126.97353,37.575762
서울교통공사,3호선,안국,126.985443,37.576477
서울교통공사,3호선,충무로,126.99428,37.561243
서울교통공사,3호선,동대입구,127.005602,37.559052
서울교통공사,3호선,약수,127.010655,37.55434
서울교통공사,3호선,금호,127.015872,37.548034
서울교통공사,3호선,옥수,127.017965,37.540685
서울교통공사,3호선,압구정,127.028461,37.527072
서울교통공사,3호선,신사,127.020114,37.516334
서울교통공사,3호선,잠원,127.01122,37.512759
서울교통공사,3호선,고속터미널,127.004943,37.50481
서울교통공사,3호선,남부터미널(예술의전당),127.016189,37.485013
서울교통공사,3호선,양재(서초구청),127.034631,37.484147
서울교통공사,3호선,매봉,127.046769,37.486947
서울교통공사,3호선,도곡,127.055381,37.490858
서울교통공사,3호선,대치,127.063642,37.494612
서울교통공사,3호선,학여울,127.070594,37.496663
서울교통공사,3호선,대청,127.079532,37.493514
서울교통공사,3호선,일원,127.08439,37.483681
서울교통공사,3호선,수서,127.10188,37.487371
서울교통공사,3호선,가락시장,127.118234,37.492522
서울교통공사,3호선,경찰병원,127.12454,37.495918
서울교통공사,3호선,오금,127.128111,37.502162
